Date_Ajout,Date_Sortie,Titre,Artiste,Genre,Difficulté,preview_url,artwork_url
2026-01-12,2003-01-07,In da Club,50 Cent,3,Moyen,./fichiers_audio/0_In_da_Club_50_Cent.m4a,./pochettes/0_In_da_Club_50_Cent.jpg
2026-01-12,1984-10-19,Take on Me,a-ha,4,Moyen,./fichiers_audio/1_Take_on_Me_a-ha.m4a,./pochettes/1_Take_on_Me_a-ha.jpg
2026-01-12,1974-03-04,Waterloo,ABBA,1,Facile,./fichiers_audio/2_Waterloo_ABBA.m4a,./pochettes/2_Waterloo_ABBA.jpg
2026-01-12,1976-08-16,Dancing Queen,ABBA,1,Facile,./fichiers_audio/3_Dancing_Queen_ABBA.m4a,./pochettes/3_Dancing_Queen_ABBA.jpg
2026-01-12,1979-07-27,Highway to Hell,AC/DC,2,Facile,./fichiers_audio/4_Highway_to_Hell_ACDC.m4a,./pochettes/4_Highway_to_Hell_ACDC.jpg
2026-01-12,1992-08-31,All That She Wants,Ace of Base,1,Moyen,./fichiers_audio/5_All_That_She_Wants_Ace_of_Base.m4a,./pochettes/5_All_That_She_Wants_Ace_of_Base.jpg
2026-01-12,1993-11-23,The Sign,Ace of Base,1,Moyen,./fichiers_audio/6_The_Sign_Ace_of_Base.m4a,./pochettes/6_The_Sign_Ace_of_Base.jpg
2026-01-12,2010-11-29,Rolling in the Deep,Adele,5,Facile,./fichiers_audio/7_Rolling_in_the_Deep_Adele.m4a,./pochettes/7_Rolling_in_the_Deep_Adele.jpg
2026-01-12,2011-01-24,Someone Like You,Adele,5,Facile,./fichiers_audio/8_Someone_Like_You_Adele.m4a,./pochettes/8_Someone_Like_You_Adele.jpg
2026-01-12,2015-10-23,Hello,Adele,5,Facile,./fichiers_audio/9_Hello_Adele.m4a,./pochettes/9_Hello_Adele.jpg
2026-01-12,2021-10-15,Easy on Me,Adele,5,Facile,./fichiers_audio/10_Easy_on_Me_Adele.m4a,./pochettes/10_Easy_on_Me_Adele.jpg
2026-01-12,1973-06-27,Dream On,Aerosmith,2,Facile,./fichiers_audio/11_Dream_On_Aerosmith.m4a,./pochettes/11_Dream_On_Aerosmith.jpg
