Date,Titre,Artiste,Genre,Difficulté
1965-05-23,Tainted Love,Gloria Jones,3,Difficile
2025-10-03,The Fate of Ophelia,Taylor Swift,1,Facile
2024-09-05,The Emptiness Machine,Linkin Park,2,Moyen
2025-10-10,Sentimental,Gims,3,Facile
2024-10-18,Ciel,Gims,3,Facile
2025-05-16,The First Time,Damiano David,2,Facile
2025-09-19,"Where Is My Husband!",Raye,5,Facile
1996-11-11,Breathe,The Prodigy,4,Difficile
2020-03-27,Levitating,Dua Lipa,1,Facile
2009-04-21,When Love Takes Over,David Guetta ft. Kelly Rowland,4,Facile
2009-07-24,Sexy Bitch,David Guetta ft. Akon,4,Moyen
2011-08-19,Feel So Close,Calvin Harris,4,Facile
2014-03-14,Summer,Calvin Harris,4,Facile
2015-07-17,How Deep Is Your Love,Calvin Harris,4,Facile
2017-06-15,Feels,Calvin Harris ft. Pharrell Williams,4,Facile
2016-04-29,This Is What You Came For,Calvin Harris ft. Rihanna,4,Facile
2023-09-15,On My Love,David Guetta & Zara Larsson,1,Facile
2016-08-05,Let Me Love You,DJ Snake ft. Justin Bieber,4,Facile
2015-06-01,Light It Up,Major Lazer ft. Nyla,4,Facile
2019-09-11,"Que Calor!",Major Lazer & J Balvin,4,Facile
2013-01-28,Demons,Imagine Dragons,2,Facile
2018-11-06,Bad Liar,Imagine Dragons,2,Facile
2022-06-24,Sharks,Imagine Dragons,2,Facile
2022-03-11,Bones,Imagine Dragons,2,Facile
2014-09-24,Thinking Out Loud,Ed Sheeran,1,Facile
